maze_name,n_estados,n_comparados,taxa_acordo,desvio_pct,js_divergencia,terminal
Marigold Mound,572,571,0.7706,0.2294,0.1723,"('Marigold Mound', 22, 8)"
Rnieroynaspa,511,510,0.7706,0.2294,0.1831,"('Rnieroynaspa', 6, 1)"
Plai Hill,106,105,0.7714,0.2286,0.1555,"('Plai Hill', 6, 2)"
Souan,446,445,0.773,0.227,0.2006,"('Souan', 2, 32)"
Nchinmoo,231,230,0.7739,0.2261,0.2247,"('Nchinmoo', 25, 1)"
Mount Meagan Upon Eastring,308,307,0.7752,0.2248,0.1562,"('Mount Meagan Upon Eastring', 1, 25)"
Becclesgreennkport,202,201,0.7761,0.2239,0.2076,"('Becclesgreennkport', 6, 20)"
Niofort,238,237,0.7764,0.2236,0.1726,"('Niofort', 21, 9)"
Starshine Strand,1509,1508,0.7765,0.2235,0.1965,"('Starshine Strand', 3, 42)"
New Farnbro,212,211,0.7773,0.2227,0.1336,"('New Farnbro', 20, 9)"
Silverthistle Port,1243,1242,0.7778,0.2222,0.1878,"('Silverthistle Port', 7, 35)"
Misty Harbor,790,789,0.7782,0.2218,0.19,"('Misty Harbor', 27, 13)"
Southsun Summit,1769,1768,0.7788,0.2212,0.1863,"('Southsun Summit', 39, 42)"
New Lummis,378,377,0.7798,0.2202,0.1577,"('New Lummis', 21, 18)"
Wolf Willow,870,869,0.7802,0.2198,0.164,"('Wolf Willow', 21, 30)"
Moonlit Meadow,459,458,0.7817,0.2183,0.1758,"('Moonlit Meadow', 11, 11)"
Mistyfern Harbor,1390,1389,0.7826,0.2174,0.1805,"('Mistyfern Harbor', 0, 25)"
Grand Kamaydam,237,236,0.7839,0.2161,0.1786,"('Grand Kamaydam', 22, 26)"
Pabea,228,227,0.7841,0.2159,0.1838,"('Pabea', 15, 3)"
Ravenflower Rock,1307,1306,0.7856,0.2144,0.1832,"('Ravenflower Rock', 47, 1)"
Rainrose Ruin,1588,1587,0.7858,0.2142,0.202,"('Rainrose Ruin', 9, 5)"
Lushleaf Landing,886,885,0.7876,0.2124,0.1795,"('Lushleaf Landing', 24, 9)"
Copperfield Cliff,884,883,0.7882,0.2118,0.1584,"('Copperfield Cliff', 1, 31)"
Silkseed Sanctuary,1558,1557,0.7893,0.2107,0.173,"('Silkseed Sanctuary', 47, 2)"
Saint Cliffebray,262,261,0.7893,0.2107,0.1758,"('Saint Cliffebray', 20, 1)"
Sparrowspike Spire,1191,1190,0.7899,0.2101,0.1819,"('Sparrowspike Spire', 40, 37)"
Garnet Gulch,551,550,0.7909,0.2091,0.1805,"('Garnet Gulch', 1, 14)"
Starbud Shore,1223,1222,0.7913,0.2087,0.1722,"('Starbud Shore', 32, 4)"
Lavender Lagoon,399,398,0.7915,0.2085,0.1604,"('Lavender Lagoon', 2, 12)"
Emerald Enclave,483,482,0.7925,0.2075,0.1714,"('Emerald Enclave', 10, 22)"
Cranfleet,165,164,0.7927,0.2073,0.1408,"('Cranfleet', 20, 15)"
Amberfall Anchorage,624,623,0.7929,0.2071,0.1922,"('Amberfall Anchorage', 4, 3)"
Glinting Glade,311,310,0.7935,0.2065,0.1531,"('Glinting Glade', 22, 41)"
Phoenix Pines,623,622,0.7942,0.2058,0.1579,"('Phoenix Pines', 18, 27)"
Moonmoss Marsh,1908,1907,0.7944,0.2056,0.1764,"('Moonmoss Marsh', 4, 46)"
Snowpea Summit,1263,1262,0.7948,0.2052,0.1721,"('Snowpea Summit', 4, 1)"
Lowspert With Asstell River,201,200,0.795,0.205,0.1507,"('Lowspert With Asstell River', 25, 3)"
Saint Kipre,419,418,0.7967,0.2033,0.2003,"('Saint Kipre', 6, 10)"
Ravenroot Ridge,1277,1276,0.797,0.203,0.1614,"('Ravenroot Ridge', 10, 27)"
Hadfupu Bay,371,370,0.7973,0.2027,0.1987,"('Hadfupu Bay', 18, 2)"
Obsidian Oasis,668,667,0.7976,0.2024,0.1702,"('Obsidian Oasis', 30, 9)"
Ravenshadow Ridge,461,460,0.7978,0.2022,0.1828,"('Ravenshadow Ridge', 8, 1)"
Sunflower Glade,1476,1475,0.798,0.202,0.192,"('Sunflower Glade', 7, 6)"
Thunderbolt Terrace,625,624,0.7981,0.2019,0.1722,"('Thunderbolt Terrace', 29, 32)"
Port Worthforks,289,288,0.7986,0.2014,0.1784,"('Port Worthforks', 19, 21)"
Ivywood,633,632,0.7991,0.2009,0.1845,"('Ivywood', 14, 5)"
Jeweljasmine Junction,445,444,0.7995,0.2005,0.1793,"('Jeweljasmine Junction', 12, 7)"
Thallmil,131,130,0.8,0.2,0.1518,"('Thallmil', 6, 10)"
Springbud Stronghold,1240,1239,0.8006,0.1994,0.1808,"('Springbud Stronghold', 47, 37)"
Moose Harry,609,608,0.801,0.199,0.1805,"('Moose Harry', 27, 2)"
Elmead,142,141,0.8014,0.1986,0.1635,"('Elmead', 8, 14)"
Fort Sillos,112,111,0.8018,0.1982,0.1529,"('Fort Sillos', 10, 15)"
Sunstone Shores,405,404,0.802,0.198,0.1747,"('Sunstone Shores', 20, 15)"
Pearlbrook Port,638,637,0.8022,0.1978,0.199,"('Pearlbrook Port', 28, 1)"
Wnaldeanshot,382,381,0.8031,0.1969,0.1548,"('Wnaldeanshot', 24, 13)"
Nightnarcissus Nave,1461,1460,0.8068,0.1932,0.1763,"('Nightnarcissus Nave', 48, 7)"
Tidalteasel Town,1743,1742,0.8077,0.1923,0.1603,"('Tidalteasel Town', 42, 2)"
Opal Orchard,564,563,0.8099,0.1901,0.1677,"('Opal Orchard', 19, 2)"
Rosehaven,1621,1620,0.813,0.187,0.1683,"('Rosehaven', 22, 16)"
Zephyr Peak,644,643,0.8134,0.1866,0.1676,"('Zephyr Peak', 0, 36)"
Sapphire Springs,489,488,0.8135,0.1865,0.1442,"('Sapphire Springs', 8, 23)"
Thornhold,1481,1480,0.8135,0.1865,0.1744,"('Thornhold', 8, 42)"
Golden Glade,473,472,0.8136,0.1864,0.1636,"('Golden Glade', 1, 15)"
Shingrdie,130,129,0.814,0.186,0.1586,"('Shingrdie', 10, 25)"
Rubyvale,536,535,0.815,0.185,0.2042,"('Rubyvale', 11, 19)"
Royal Sulwold,158,157,0.8153,0.1847,0.1692,"('Royal Sulwold', 0, 1)"
Shadowseed Shore,1134,1133,0.8164,0.1836,0.1738,"('Shadowseed Shore', 0, 28)"
Coorteon,110,109,0.8165,0.1835,0.1482,"('Coorteon', 11, 1)"
Willowbrook Crossing,317,316,0.8165,0.1835,0.1635,"('Willowbrook Crossing', 18, 12)"
Sapphireseed Shore,1422,1421,0.8177,0.1823,0.1614,"('Sapphireseed Shore', 37, 8)"
Las Shallrie,100,99,0.8182,0.1818,0.1327,"('Las Shallrie', 18, 5)"
Moonpetal Vale,1146,1145,0.8201,0.1799,0.1556,"('Moonpetal Vale', 44, 24)"
Fort Quillton,157,156,0.8205,0.1795,0.1679,"('Fort Quillton', 2, 10)"
Oaksyep Bay,119,118,0.822,0.178,0.1467,"('Oaksyep Bay', 0, 2)"
Cypress Cove,957,956,0.8222,0.1778,0.1549,"('Cypress Cove', 48, 26)"
South Skegstergreat,378,377,0.8223,0.1777,0.1451,"('South Skegstergreat', 25, 16)"
Northvine Tower,1463,1462,0.8228,0.1772,0.175,"('Northvine Tower', 0, 22)"
Coral Crest,306,305,0.823,0.177,0.1394,"('Coral Crest', 14, 6)"
Saint Perthprudnorth,103,102,0.8235,0.1765,0.1744,"('Saint Perthprudnorth', 9, 9)"
Azure Haven,393,392,0.824,0.176,0.1569,"('Azure Haven', 2, 9)"
Oyston Wells,109,108,0.8241,0.1759,0.1727,"('Oyston Wells', 11, 15)"
St Cechil,150,149,0.8255,0.1745,0.1371,"('St Cechil', 18, 16)"
Nightshade Nook,1446,1445,0.8256,0.1744,0.1647,"('Nightshade Nook', 8, 48)"
Midnight Mirage,502,501,0.8263,0.1737,0.1586,"('Midnight Mirage', 34, 8)"
Diamond Dale,520,519,0.8266,0.1734,0.1558,"('Diamond Dale', 30, 16)"
East Pynbrook,146,145,0.8276,0.1724,0.1607,"('East Pynbrook', 13, 9)"
Sunstone Sanctuary,1776,1775,0.8299,0.1701,0.1613,"('Sunstone Sanctuary', 59, 44)"
Ruby Ridge,512,511,0.8317,0.1683,0.1592,"('Ruby Ridge', 1, 9)"
Dbech Forest,403,402,0.8333,0.1667,0.1467,"('Dbech Forest', 12, 22)"
Whispering Willow,169,168,0.8333,0.1667,0.1312,"('Whispering Willow', 11, 5)"
Sunbrook Meadow,1229,1228,0.8347,0.1653,0.1719,"('Sunbrook Meadow', 38, 1)"
Onyx Outpost,726,725,0.8359,0.1641,0.1483,"('Onyx Outpost', 8, 7)"
Liroyalsingquay,435,434,0.8364,0.1636,0.1575,"('Liroyalsingquay', 8, 25)"
Stonybloom,1868,1867,0.8372,0.1628,0.1605,"('Stonybloom', 5, 0)"
Mount Winlean,106,105,0.8381,0.1619,0.1525,"('Mount Winlean', 21, 7)"
Belan,132,131,0.8397,0.1603,0.1226,"('Belan', 15, 15)"
Feryeo,370,369,0.8428,0.1572,0.149,"('Feryeo', 1, 22)"
Thunderthistle Thicket,1158,1157,0.8436,0.1564,0.1457,"('Thunderthistle Thicket', 46, 31)"
Falcons Hollow,510,509,0.8448,0.1552,0.1496,"('Falcons Hollow', 28, 8)"
Stormwind Haven,594,593,0.8449,0.1551,0.1402,"('Stormwind Haven', 13, 13)"
Twilight Tulip Tower,1621,1620,0.8451,0.1549,0.1453,"('Twilight Tulip Tower', 47, 45)"
Albatross Acre,202,201,0.8507,0.1493,0.1409,"('Albatross Acre', 10, 18)"
Bahqui Lake,132,131,0.855,0.145,0.104,"('Bahqui Lake', 7, 13)"
Topaz Terrace,379,378,0.8571,0.1429,0.1152,"('Topaz Terrace', 9, 15)"
Mount Saultsilswkinge,222,221,0.8643,0.1357,0.1343,"('Mount Saultsilswkinge', 25, 21)"
Cliffrose Keep,443,442,0.871,0.129,0.1334,"('Cliffrose Keep', 34, 4)"
Swans,50,49,0.8776,0.1224,0.0924,"('Swans', 4, 14)"
Silvermoon City,369,368,0.8832,0.1168,0.1278,"('Silvermoon City', 9, 22)"
Stokeelkstone,121,120,0.8833,0.1167,0.1342,"('Stokeelkstone', 4, 3)"
Port Lakefieldca,55,54,0.9074,0.0926,0.0988,"('Port Lakefieldca', 5, 14)"
