uid,tercio,n_estados,taxa_acordo,js_medio,js_pond
50E3D3F2-48D1-4DF3-80A6-B9F52D73D19C,3,63,0.7619047619047619,0.10925725372054801,0.1099300008039102
813617089cd46dd731ab5bd63eaef6df,2,345,0.9420289855072463,0.042105220599377755,0.045730429111259865
e890ecc72f2b50967706e5b1ddba7b87,1,160,0.94375,0.04764097499864278,0.03793996221223234
e890ecc72f2b50967706e5b1ddba7b87,2,199,0.9447236180904522,0.055276380177183275,0.06706382897713022
e890ecc72f2b50967706e5b1ddba7b87,3,242,0.9338842975206612,0.05188590993044391,0.05669319615647904
22c059af98c4b9442cbd46737c2afbbf,2,165,0.8787878787878788,0.11286397366692315,0.11363509561230742
22c059af98c4b9442cbd46737c2afbbf,3,183,0.9562841530054644,0.03995233819782107,0.043986258883467674
0efdb80984bcc675ee31f00b2e153cd82944ab77,3,251,0.8565737051792829,0.09129196627330431,0.09336821157066898
0F7AC69C-FB63-44EE-862C-D75EAABE8B07,2,157,0.7261146496815286,0.15519623461434867,0.18398560183616713
cef73dbcbdc2f232923470e5da069f8d,2,138,0.7971014492753623,0.13480438751469465,0.13183298750138234
813617089cd46dd731ab5bd63eaef6df,3,337,0.9436201780415431,0.031301981666302686,0.0387241127864757
9afe9f8ceeed9d66b26195f0258882b9,1,63,0.7936507936507936,0.17355292087848082,0.16600541980569616
c6d0d3e3940b5560b5b0bf6dc4d838f7,1,86,0.9534883720930233,0.030544899680702193,0.028648517369438426
c6d0d3e3940b5560b5b0bf6dc4d838f7,2,135,0.7111111111111111,0.15815766885442026,0.16146360866625473
c6d0d3e3940b5560b5b0bf6dc4d838f7,3,125,0.752,0.1709874515276528,0.19267277317588244
3fbe8afd58f28c7e6d67414af51c0f2a,1,67,0.8059701492537313,0.15291212173531243,0.12930682576542607
d3bb88836933b0a2a24aa2eb1f1af368,1,93,0.7204301075268817,0.1922925443546664,0.23294397578913112
d3bb88836933b0a2a24aa2eb1f1af368,2,122,0.8852459016393442,0.04570683730778961,0.04486650385517393
171e910a0612f115b4f878a25ccff27b,1,95,0.6105263157894737,0.27347841121920413,0.2726123513549565
544cf7569c7a585bef756c53aba3eedc,1,471,0.7749469214437368,0.13720429195000391,0.15515273361907952
