maze_name,complexidade_hibrida,taxa_acordo,js_divergencia,desvio_pct,n_estados,n_partidas,media_reflexoes,media_voltas,mediana_tempo,p90_backtracks,fluidez,sinuosidade,norm_reflexoes,norm_voltas,norm_tempo,norm_risco,norm_fluidez,score_base,score_final_raw
Shafton Lake,44.8,0.6949,0.224,0.3051,332,163,8.883435582822086,45.07361963190184,68.23008,78.0,0.2680422954522123,0.3771173390822298,0.433318413693549,0.3823786213082713,0.42191897298739317,0.3628230616302186,0.761731276630257,0.411845475901124,0.25949922057507263
Attau,5.58,0.6949,0.1534,0.3051,119,221,0.49321266968325794,2.764705882352941,6.408136,5.0,0.2171976704350805,0.2093182596779719,0.0,0.0028456045631443227,0.001686721963467809,0.0,0.5024622556466767,0.0006219048490079941,-0.09987054628032735
Swangates,22.72,0.6953,0.1595,0.3047,257,183,3.6830601092896176,24.814207650273225,37.86903,32.0,0.2316502257147634,0.379618792844006,0.16474170552610035,0.20064113231514247,0.21554092080336693,0.13419483101391647,0.576159325038218,0.1723821163580211,0.05715025135037749
El Ton,21.65,0.6963,0.208,0.3037,192,187,4.176470588235294,17.609625668449198,30.39999,29.80000000000001,0.2353113410111263,0.32139371462033967,0.1902242044120006,0.13601227537649294,0.16477041296900083,0.12326043737574556,0.5948282360248992,0.16631949981259886,0.04735385260761901
Silverwood-on-Lake,45.94,0.7011,0.2111,0.2989,349,161,9.639751552795031,50.77018633540373,70.45471,80.0,0.28691119879195287,0.3981684446392908,0.47237883434656486,0.43347979490181376,0.43704080857048894,0.3727634194831013,0.8579483712450756,0.4414982422741819,0.2699085680251667
Grand Stormwatch,32.95,0.7015,0.218,0.2985,269,170,6.241176470588235,33.588235294117645,43.020300000000006,90.1,0.27575198637911463,0.40507945516458566,0.2968572565903739,0.2793487351712644,0.2505564775405025,0.4229622266401589,0.8010448524119733,0.31106724264844565,0.15085827216605097
Whitport,31.43,0.7018,0.2081,0.2982,219,193,6.8549222797927465,35.17616580310881,54.96159,54.0,0.28708683304127136,0.4102362680524503,0.32855455035823045,0.29359329980430154,0.33172693016860955,0.2435387673956262,0.8588439726947205,0.3086897446723926,0.13692095013344846
Aux Buwales,0.79,0.7023,0.2111,0.2977,132,200,0.55,3.98,6.469419,6.0,0.26381992717643166,0.26348891095663685,0.002932817893575686,0.013747426468418677,0.0021032907636902576,0.004970178926441351,0.7402004011694798,0.004255845531656032,-0.14378423470223994
Og,10.81,0.7039,0.2309,0.2961,234,223,2.1524663677130045,12.641255605381167,16.60089,23.0,0.25203535705978136,0.3278669458013492,0.08569321551868382,0.09144340533873424,0.07097156938840675,0.08946322067594431,0.680108032392509,0.08407790630608554,-0.05194370017241627
Branfray Bay,37.5,0.7043,0.2085,0.2957,329,181,7.392265193370166,38.41988950276243,61.244,52.0,0.25539129974036984,0.3684628834843427,0.3563059678511097,0.3226911927094421,0.3744313668999297,0.2335984095427435,0.6972207945179061,0.3320280584850337,0.19258389958145247
Whitebeaupr,13.36,0.7073,0.1751,0.2927,165,210,3.2285714285714286,15.847619047619048,24.636515000000003,27.0,0.2737996932877197,0.39259171876843224,0.14126934773426145,0.12020615725473699,0.125593416642743,0.10934393638170972,0.7910896384968658,0.129642760197495,-0.028575167501878163
Stra,6.58,0.7087,0.2131,0.2913,358,203,1.5665024630541873,9.266009852216749,12.10362,15.0,0.25841924398625427,0.3231958762886598,0.055430735930588115,0.061165691036311906,0.04040155212136045,0.04970178926441351,0.7126610134192906,0.051852605346080036,-0.09067959733777807
Eawi,15.83,0.709,0.1916,0.291,135,219,2.9771689497716896,12.191780821917808,15.46694,24.400000000000034,0.22733263046916183,0.3518713758566157,0.12828550637034053,0.08741138216913608,0.06326358852891484,0.09642147117296238,0.5541428642628007,0.10482090334245932,-0.00600766951010083
Beakwind Bay,43.12,0.7107,0.2315,0.2893,606,179,7.558659217877095,50.29050279329609,56.83036,98.20000000000002,0.2586885662278288,0.38106929687169283,0.3648994933740751,0.42917678341594123,0.34442982129325583,0.46322067594433397,0.7140343525653381,0.38689752447614967,0.24409065396308205
Yassdrawich,3.96,0.7109,0.2339,0.2891,129,211,1.0236966824644549,7.056872037914692,11.25769,10.0,0.26030002112824846,0.3145996196915276,0.027397185186602103,0.041348572969159086,0.03465137596855832,0.024850894632206754,0.7222515502386461,0.029733904010369974,-0.11471640603735923
Port Carrahur,33.76,0.7113,0.2509,0.2887,285,175,6.617142857142857,30.965714285714284,43.70549,65.6,0.2527057316682677,0.34703810438680754,0.31627428041805167,0.2558233543097098,0.2552140298180413,0.30119284294234583,0.683526434404048,0.2950008501920743,0.15829556331126468
Fipea Grove,2.75,0.7115,0.2322,0.2885,157,224,1.3303571428571428,9.638392857142858,10.460255,16.0,0.28604944955784156,0.3896408590507129,0.0432348602538288,0.06450616075578629,0.029230842685178168,0.05467196819085486,0.8535541038041001,0.044848608377699634,-0.1258622123831204
Churchsoundbury,18.68,0.7122,0.2074,0.2878,338,181,3.154696132596685,22.331491712707184,32.27974,35.0,0.2478293227486976,0.3342429504672125,0.13745401095545093,0.17836987583516034,0.1775479402150257,0.14910536779324052,0.6586604477620668,0.15189465466289476,0.020162565110481395
Hawthorn Haven,47.63,0.7123,0.1816,0.2877,425,44,8.0,59.43181818181818,77.16259,82.4,0.2491318133776234,0.39483617695908196,0.38769281955713636,0.5111791488503749,0.4826373610179235,0.38469184890656055,0.6653021620059638,0.4184301666485025,0.2853697342473097
Cobblestone Creek,60.43,0.7139,0.2164,0.2861,791,73,10.356164383561644,67.34246575342466,87.07624,115.39999999999999,0.24607371794871793,0.39391025641025645,0.5093784319247606,0.5821417822810507,0.5500250098981229,0.548707753479125,0.6497081949414111,0.532649946865935,0.40270830787765277
Sparrow Hill,44.73,0.7143,0.1843,0.2857,407,169,7.550295857988166,59.98224852071006,74.29722,79.20000000000002,0.25729431898818717,0.42313311349501187,0.36446756231840033,0.5161167959916916,0.4631601202971138,0.3687872763419483,0.7069247492059043,0.40023494008618177,0.2588499902450009
Chatle,5.36,0.7193,0.2196,0.2807,115,225,0.6577777777777778,4.657777777777778,9.156738,7.0,0.2306730047535652,0.2621966474856142,0.008499069968350537,0.019827446537134124,0.020370236762498776,0.009940357852882702,0.5711762393765748,0.012294398560964976,-0.10194084931434999
